,ano,ocupacao,Estado,ativo_problematico_deflacionado
52,2012,PF - Empregado de entidades sem fins lucrativos,ESPÍRITO SANTO,1879258.627336481
53,2012,PF - Empresário,ESPÍRITO SANTO,331655040.63937646
54,2012,PF - Outros,ESPÍRITO SANTO,1263841767.1066582
55,2012,PF - Servidor ou empregado público,ESPÍRITO SANTO,267249423.15327266
56,2012,PF - Aposentado/pensionista,GOIÁS,175910949.68417087
57,2012,PF - Autônomo,GOIÁS,794153881.3363444
58,2012,PF - Empregado de empresa privada,GOIÁS,462673214.11507064
59,2012,PF - Empregado de entidades sem fins lucrativos,GOIÁS,10693836.347533235
60,2012,PF - Empresário,GOIÁS,1448234934.451338
61,2012,PF - Outros,GOIÁS,3649890648.743805
62,2012,PF - Servidor ou empregado público,GOIÁS,764829817.5974684
63,2012,PF - Aposentado/pensionista,MARANHÃO,83802050.24204929
64,2012,PF - Autônomo,MARANHÃO,433190940.1287358
65,2012,PF - Empregado de empresa privada,MARANHÃO,155988688.60060388
66,2012,PF - Empregado de entidades sem fins lucrativos,MARANHÃO,2558458.082958637
67,2012,PF - Empresário,MARANHÃO,307213663.4600902
68,2012,PF - Outros,MARANHÃO,1646288779.8676336
69,2012,PF - Servidor ou empregado público,MARANHÃO,319849816.4896322
70,2012,PF - Aposentado/pensionista,MINAS GERAIS,605579068.1182781
71,2012,PF - Autônomo,MINAS GERAIS,1277446266.2567358
72,2012,PF - Empregado de empresa privada,MINAS GERAIS,1393587740.2137635
73,2012,PF - Empregado de entidades sem fins lucrativos,MINAS GERAIS,10382405.139509274
74,2012,PF - Empresário,MINAS GERAIS,2311629762.901552
75,2012,PF - Outros,MINAS GERAIS,7481406318.990832
76,2012,PF - Servidor ou empregado público,MINAS GERAIS,1272647097.4419918
77,2012,PF - Aposentado/pensionista,MATO GROSSO DO SUL,88571887.69516416
78,2012,PF - Autônomo,MATO GROSSO DO SUL,317037521.26995057
79,2012,PF - Empregado de empresa privada,MATO GROSSO DO SUL,162989999.15819556
80,2012,PF - Empregado de entidades sem fins lucrativos,MATO GROSSO DO SUL,1818764.0705907932
81,2012,PF - Empresário,MATO GROSSO DO SUL,515534538.007079
82,2012,PF - Outros,MATO GROSSO DO SUL,1055252629.1921442
83,2012,PF - Servidor ou empregado público,MATO GROSSO DO SUL,287633096.4978323
84,2012,PF - Aposentado/pensionista,MATO GROSSO,67921765.6219677
85,2012,PF - Autônomo,MATO GROSSO,770689016.8563527
86,2012,PF - Empregado de empresa privada,MATO GROSSO,287251509.7838484
87,2012,PF - Empregado de entidades sem fins lucrativos,MATO GROSSO,2548001.122702124
88,2012,PF - Empresário,MATO GROSSO,1508315373.0048583
89,2012,PF - Outros,MATO GROSSO,1631685843.762873
90,2012,PF - Servidor ou empregado público,MATO GROSSO,425195231.82565904
91,2012,PF - Aposentado/pensionista,PARÁ,146834761.06392425
92,2012,PF - Autônomo,PARÁ,239646249.0485596
93,2012,PF - Empregado de empresa privada,PARÁ,207567118.376635
94,2012,PF - Empregado de entidades sem fins lucrativos,PARÁ,1403952.6545655502
95,2012,PF - Empresário,PARÁ,254401918.17908806
96,2012,PF - Outros,PARÁ,1592355135.2921767
97,2012,PF - Servidor ou empregado público,PARÁ,491449411.50888056
98,2012,PF - Aposentado/pensionista,PARAÍBA,114199264.85538833
99,2012,PF - Autônomo,PARAÍBA,166766423.46586367
100,2012,PF - Empregado de empresa privada,PARAÍBA,89109271.68750685
101,2012,PF - Empregado de entidades sem fins lucrativos,PARAÍBA,772476.6382169855
102,2012,PF - Empresário,PARAÍBA,163796035.27958548
103,2012,PF - Outros,PARAÍBA,1128940337.1282926
104,2012,PF - Servidor ou empregado público,PARAÍBA,311956192.028282
105,2012,PF - Aposentado/pensionista,PERNAMBUCO,285786978.1021659
106,2012,PF - Autônomo,PERNAMBUCO,365908806.1460248
107,2012,PF - Empregado de empresa privada,PERNAMBUCO,321314853.58602
108,2012,PF - Empregado de entidades sem fins lucrativos,PERNAMBUCO,2729653.6956406357
109,2012,PF - Empresário,PERNAMBUCO,435014457.21264404
110,2012,PF - Outros,PERNAMBUCO,2391463694.2555914
111,2012,PF - Servidor ou empregado público,PERNAMBUCO,514243241.8566511
112,2012,PF - Aposentado/pensionista,PIAUÍ,60715328.70592767
113,2012,PF - Autônomo,PIAUÍ,90581825.14431486
114,2012,PF - Empregado de empresa privada,PIAUÍ,39316778.37255875
115,2012,PF - Empregado de entidades sem fins lucrativos,PIAUÍ,665483.3960095248
116,2012,PF - Empresário,PIAUÍ,127475138.2932081
117,2012,PF - Outros,PIAUÍ,675297985.0553963
118,2012,PF - Servidor ou empregado público,PIAUÍ,210378346.82739648
119,2012,PF - Aposentado/pensionista,PARANÁ,276805022.5409571
120,2012,PF - Autônomo,PARANÁ,1027347793.4931635
121,2012,PF - Empregado de empresa privada,PARANÁ,1098866900.7387002
122,2012,PF - Empregado de entidades sem fins lucrativos,PARANÁ,6906691.416405032
123,2012,PF - Empresário,PARANÁ,1745626158.4087458
124,2012,PF - Outros,PARANÁ,5056970772.624729
125,2012,PF - Servidor ou empregado público,PARANÁ,665130894.0364012
126,2012,PF - Aposentado/pensionista,RIO DE JANEIRO,1536884977.4207828
127,2012,PF - Autônomo,RIO DE JANEIRO,1380827553.219125
128,2012,PF - Empregado de empresa privada,RIO DE JANEIRO,2036884256.7060606
129,2012,PF - Empregado de entidades sem fins lucrativos,RIO DE JANEIRO,18570311.47851413
130,2012,PF - Empresário,RIO DE JANEIRO,1507352748.292149
131,2012,PF - MEI,RIO DE JANEIRO,0.0
132,2012,PF - Outros,RIO DE JANEIRO,7900583549.922446
133,2012,PF - Servidor ou empregado público,RIO DE JANEIRO,2668460486.983674
134,2012,PF - Aposentado/pensionista,RIO GRANDE DO NORTE,164716269.6938604
135,2012,PF - Autônomo,RIO GRANDE DO NORTE,126213340.67623834
136,2012,PF - Empregado de empresa privada,RIO GRANDE DO NORTE,102968291.30746637
137,2012,PF - Empregado de entidades sem fins lucrativos,RIO GRANDE DO NORTE,1116547.1140201779
138,2012,PF - Empresário,RIO GRANDE DO NORTE,169714747.91888058
139,2012,PF - Outros,RIO GRANDE DO NORTE,1011224586.4647815
140,2012,PF - Servidor ou empregado público,RIO GRANDE DO NORTE,298250414.86213666
141,2012,PF - Aposentado/pensionista,RONDÔNIA,18696342.261561435
142,2012,PF - Autônomo,RONDÔNIA,101942521.69214189
143,2012,PF - Empregado de empresa privada,RONDÔNIA,51503721.56242361
144,2012,PF - Empregado de entidades sem fins lucrativos,RONDÔNIA,470199.30991197895
145,2012,PF - Empresário,RONDÔNIA,148985603.42341253
146,2012,PF - Outros,RONDÔNIA,426198005.0528728
147,2012,PF - Servidor ou empregado público,RONDÔNIA,217156248.10797217
148,2012,PF - Aposentado/pensionista,RORAIMA,8941113.062023485
149,2012,PF - Autônomo,RORAIMA,19003289.445232287
150,2012,PF - Empregado de empresa privada,RORAIMA,10485054.900388516
151,2012,PF - Empregado de entidades sem fins lucrativos,RORAIMA,739823.200109762
152,2012,PF - Empresário,RORAIMA,31877524.907690473
153,2012,PF - Outros,RORAIMA,159527294.48092967
154,2012,PF - Servidor ou empregado público,RORAIMA,139762782.14862275
155,2012,PF - Aposentado/pensionista,RIO GRANDE DO SUL,547444074.2373027
156,2012,PF - Autônomo,RIO GRANDE DO SUL,1221050951.8838627
157,2012,PF - Empregado de empresa privada,RIO GRANDE DO SUL,1188972665.154828
158,2012,PF - Empregado de entidades sem fins lucrativos,RIO GRANDE DO SUL,12114246.34494769
159,2012,PF - Empresário,RIO GRANDE DO SUL,2087095631.7258506
160,2012,PF - MEI,RIO GRANDE DO SUL,0.0
161,2012,PF - Outros,RIO GRANDE DO SUL,5187854017.606753
162,2012,PF - Servidor ou empregado público,RIO GRANDE DO SUL,1061230298.9171079
163,2012,PF - Aposentado/pensionista,SANTA CATARINA,198475806.19075635
164,2012,PF - Autônomo,SANTA CATARINA,402873461.62766427
165,2012,PF - Empregado de empresa privada,SANTA CATARINA,626628142.9752741
166,2012,PF - Empregado de entidades sem fins lucrativos,SANTA CATARINA,3244750.0064779525
167,2012,PF - Empresário,SANTA CATARINA,939862752.9126363
168,2012,PF - Outros,SANTA CATARINA,3211355270.334294
169,2012,PF - Servidor ou empregado público,SANTA CATARINA,421040000.28055686
170,2012,PF - Aposentado/pensionista,SERGIPE,52319231.43253364
171,2012,PF - Autônomo,SERGIPE,97062477.5468422
172,2012,PF - Empregado de empresa privada,SERGIPE,78978332.57990499
173,2012,PF - Empregado de entidades sem fins lucrativos,SERGIPE,1077162.2565607144
174,2012,PF - Empresário,SERGIPE,99014388.41584867
175,2012,PF - Outros,SERGIPE,634231983.7346301
176,2012,PF - Servidor ou empregado público,SERGIPE,223683811.79026306
177,2012,PF - Aposentado/pensionista,SÃO PAULO,1422222601.405709
178,2012,PF - Autônomo,SÃO PAULO,3657308341.759813
179,2012,PF - Empregado de empresa privada,SÃO PAULO,8831161683.846926
180,2012,PF - Empregado de entidades sem fins lucrativos,SÃO PAULO,47639060.46733807
181,2012,PF - Empresário,SÃO PAULO,7787941813.568068
182,2012,PF - MEI,SÃO PAULO,34672.39600676317
183,2012,PF - Outros,SÃO PAULO,22425894869.81695
184,2012,PF - Servidor ou empregado público,SÃO PAULO,3143310920.457376
185,2012,PF - Aposentado/pensionista,TOCANTINS,10676859.457692208
186,2012,PF - Autônomo,TOCANTINS,142332323.84368497
187,2012,PF - Empregado de empresa privada,TOCANTINS,42145066.585804336
188,2012,PF - Empregado de entidades sem fins lucrativos,TOCANTINS,920766.7240725321
189,2012,PF - Empresário,TOCANTINS,173523911.1431177
190,2012,PF - Outros,TOCANTINS,452380294.1974058
191,2012,PF - Servidor ou empregado público,TOCANTINS,207881228.63257548
0,2013,PF - Aposentado/pensionista,ACRE,21189676.4241694
1,2013,PF - Autônomo,ACRE,18578423.444740094
2,2013,PF - Empregado de empresa privada,ACRE,18006736.062436502
3,2013,PF - Empregado de entidades sem fins lucrativos,ACRE,224976.1820177046
4,2013,PF - Empresário,ACRE,52691420.00380673
5,2013,PF - Outros,ACRE,255643103.49359658
6,2013,PF - Servidor ou empregado público,ACRE,134485617.5583433
7,2013,PF - Aposentado/pensionista,ALAGOAS,65863384.95800886
8,2013,PF - Autônomo,ALAGOAS,121354740.8433423
9,2013,PF - Empregado de empresa privada,ALAGOAS,103136368.89474702
10,2013,PF - Empregado de entidades sem fins lucrativos,ALAGOAS,450403.803165337
11,2013,PF - Empresário,ALAGOAS,186457268.17115697
12,2013,PF - Outros,ALAGOAS,1210199583.1643186
13,2013,PF - Servidor ou empregado público,ALAGOAS,226031610.41941532
14,2013,PF - Aposentado/pensionista,AMAZONAS,59257051.831369065
15,2013,PF - Autônomo,AMAZONAS,133589184.67034544
16,2013,PF - Empregado de empresa privada,AMAZONAS,258600081.98328793
17,2013,PF - Empregado de entidades sem fins lucrativos,AMAZONAS,2312603.1893985774
18,2013,PF - Empresário,AMAZONAS,155452962.87077606
19,2013,PF - Outros,AMAZONAS,934975705.2408333
20,2013,PF - Servidor ou empregado público,AMAZONAS,413747437.7616397
21,2013,PF - Aposentado/pensionista,AMAPÁ,12881025.302416515
22,2013,PF - Autônomo,AMAPÁ,12089751.799101697
23,2013,PF - Empregado de empresa privada,AMAPÁ,16029560.664971938
24,2013,PF - Empregado de entidades sem fins lucrativos,AMAPÁ,581606.7867333988
25,2013,PF - Empresário,AMAPÁ,28392416.44233957
26,2013,PF - Outros,AMAPÁ,205365063.36628014
27,2013,PF - Servidor ou empregado público,AMAPÁ,192308645.0660917
28,2013,PF - Aposentado/pensionista,BAHIA,275193216.7959933
29,2013,PF - Autônomo,BAHIA,676960899.6405693
30,2013,PF - Empregado de empresa privada,BAHIA,749348149.4827124
31,2013,PF - Empregado de entidades sem fins lucrativos,BAHIA,5206942.684710864
32,2013,PF - Empresário,BAHIA,1182026988.1772022
33,2013,PF - Outros,BAHIA,4097993946.7659082
34,2013,PF - Servidor ou empregado público,BAHIA,1032865381.0493733
35,2013,PF - Aposentado/pensionista,CEARÁ,173903418.1125639
36,2013,PF - Autônomo,CEARÁ,273087135.4889316
37,2013,PF - Empregado de empresa privada,CEARÁ,242660616.50990534
38,2013,PF - Empregado de entidades sem fins lucrativos,CEARÁ,2365114.527889359
39,2013,PF - Empresário,CEARÁ,413584817.5080084
40,2013,PF - Outros,CEARÁ,2106688362.1299949
41,2013,PF - Servidor ou empregado público,CEARÁ,410778755.6226484
42,2013,PF - Aposentado/pensionista,DISTRITO FEDERAL,225078637.2604338
43,2013,PF - Autônomo,DISTRITO FEDERAL,207075505.41468772
44,2013,PF - Empregado de empresa privada,DISTRITO FEDERAL,443114128.99993736
45,2013,PF - Empregado de entidades sem fins lucrativos,DISTRITO FEDERAL,13543917.694122683
46,2013,PF - Empresário,DISTRITO FEDERAL,513884584.9118541
47,2013,PF - Outros,DISTRITO FEDERAL,1787062812.4969964
48,2013,PF - Servidor ou empregado público,DISTRITO FEDERAL,1277384104.8618605
49,2013,PF - Aposentado/pensionista,ESPÍRITO SANTO,106571569.88396563
50,2013,PF - Autônomo,ESPÍRITO SANTO,243392182.92908838
51,2013,PF - Empregado de empresa privada,ESPÍRITO SANTO,327704237.8237082
52,2013,PF - Empregado de entidades sem fins lucrativos,ESPÍRITO SANTO,2583805.821784447
53,2013,PF - Empresário,ESPÍRITO SANTO,359962458.0072795
54,2013,PF - Outros,ESPÍRITO SANTO,1471037399.0982072
55,2013,PF - Servidor ou empregado público,ESPÍRITO SANTO,250623668.31588542
56,2013,PF - Aposentado/pensionista,GOIÁS,169067249.66364053
57,2013,PF - Autônomo,GOIÁS,752225839.3745567
58,2013,PF - Empregado de empresa privada,GOIÁS,453415799.4151981
59,2013,PF - Empregado de entidades sem fins lucrativos,GOIÁS,10507621.403216885
60,2013,PF - Empresário,GOIÁS,1432537367.340236
61,2013,PF - Outros,GOIÁS,3705949978.1145406
62,2013,PF - Servidor ou empregado público,GOIÁS,679248496.786287
63,2013,PF - Aposentado/pensionista,MARANHÃO,71657948.66975342
64,2013,PF - Autônomo,MARANHÃO,439241881.37846583
65,2013,PF - Empregado de empresa privada,MARANHÃO,174485038.41371712
66,2013,PF - Empregado de entidades sem fins lucrativos,MARANHÃO,2447739.4801565595
67,2013,PF - Empresário,MARANHÃO,303624960.9907264
68,2013,PF - Outros,MARANHÃO,1629841097.6187143
69,2013,PF - Servidor ou empregado público,MARANHÃO,305132682.4827383
70,2013,PF - Aposentado/pensionista,MINAS GERAIS,586895116.1296328
71,2013,PF - Autônomo,MINAS GERAIS,1312857378.7417336
72,2013,PF - Empregado de empresa privada,MINAS GERAIS,1537060719.1455894
73,2013,PF - Empregado de entidades sem fins lucrativos,MINAS GERAIS,11816933.115269983
74,2013,PF - Empresário,MINAS GERAIS,2488594033.4016714
75,2013,PF - Outros,MINAS GERAIS,8119540666.0585
76,2013,PF - Servidor ou empregado público,MINAS GERAIS,1338414468.2898617
77,2013,PF - Aposentado/pensionista,MATO GROSSO DO SUL,86758896.18702655
78,2013,PF - Autônomo,MATO GROSSO DO SUL,359578418.2003108
79,2013,PF - Empregado de empresa privada,MATO GROSSO DO SUL,159364707.10300362
80,2013,PF - Empregado de entidades sem fins lucrativos,MATO GROSSO DO SUL,2196118.9006251562
81,2013,PF - Empresário,MATO GROSSO DO SUL,540730453.7068247
82,2013,PF - Outros,MATO GROSSO DO SUL,1174874308.9486248
83,2013,PF - Servidor ou empregado público,MATO GROSSO DO SUL,279405453.451885
84,2013,PF - Aposentado/pensionista,MATO GROSSO,75001080.64323787
85,2013,PF - Autônomo,MATO GROSSO,809293193.7214117
86,2013,PF - Empregado de empresa privada,MATO GROSSO,263471547.25729734
87,2013,PF - Empregado de entidades sem fins lucrativos,MATO GROSSO,2321636.4109089626
88,2013,PF - Empresário,MATO GROSSO,1353286570.205909
89,2013,PF - Outros,MATO GROSSO,1762238154.3268619
90,2013,PF - Servidor ou empregado público,MATO GROSSO,450319694.1428728
91,2013,PF - Aposentado/pensionista,PARÁ,149859820.7496505
92,2013,PF - Autônomo,PARÁ,284329006.5706313
93,2013,PF - Empregado de empresa privada,PARÁ,245932934.28938803
94,2013,PF - Empregado de entidades sem fins lucrativos,PARÁ,3138880.3339632084
95,2013,PF - Empresário,PARÁ,285963379.72388446
96,2013,PF - Outros,PARÁ,2032038732.3126822
97,2013,PF - Servidor ou empregado público,PARÁ,551959827.6882284
98,2013,PF - Aposentado/pensionista,PARAÍBA,118727343.43377069
99,2013,PF - Autônomo,PARAÍBA,166557587.59712538
100,2013,PF - Empregado de empresa privada,PARAÍBA,98714567.65318859
101,2013,PF - Empregado de entidades sem fins lucrativos,PARAÍBA,872352.2226481072
102,2013,PF - Empresário,PARAÍBA,168161176.41163364
103,2013,PF - MEI,PARAÍBA,0.0
104,2013,PF - Outros,PARAÍBA,1227264446.025065
105,2013,PF - Servidor ou empregado público,PARAÍBA,346014434.66585845
106,2013,PF - Aposentado/pensionista,PERNAMBUCO,251078230.12144133
107,2013,PF - Autônomo,PERNAMBUCO,381657951.7947599
108,2013,PF - Empregado de empresa privada,PERNAMBUCO,352478883.0798008
109,2013,PF - Empregado de entidades sem fins lucrativos,PERNAMBUCO,3530131.162180427
110,2013,PF - Empresário,PERNAMBUCO,458250399.4366284
111,2013,PF - Outros,PERNAMBUCO,2627315838.7441044
112,2013,PF - Servidor ou empregado público,PERNAMBUCO,501921909.4897961
113,2013,PF - Aposentado/pensionista,PIAUÍ,56000582.74626747
114,2013,PF - Autônomo,PIAUÍ,97584080.93660174
115,2013,PF - Empregado de empresa privada,PIAUÍ,44879715.53834697
116,2013,PF - Empregado de entidades sem fins lucrativos,PIAUÍ,601762.9688029846
117,2013,PF - Empresário,PIAUÍ,144050694.31604955
118,2013,PF - Outros,PIAUÍ,739958635.3898493
119,2013,PF - Servidor ou empregado público,PIAUÍ,185726068.36655396
120,2013,PF - Aposentado/pensionista,PARANÁ,264220360.86171395
121,2013,PF - Autônomo,PARANÁ,1015224787.6944724
122,2013,PF - Empregado de empresa privada,PARANÁ,1137489157.2683384
123,2013,PF - Empregado de entidades sem fins lucrativos,PARANÁ,7239031.177476725
124,2013,PF - Empresário,PARANÁ,1799878264.5764883
125,2013,PF - Outros,PARANÁ,5129442605.471397
126,2013,PF - Servidor ou empregado público,PARANÁ,653028009.7989261
127,2013,PF - Aposentado/pensionista,RIO DE JANEIRO,1344973718.992974
128,2013,PF - Autônomo,RIO DE JANEIRO,1372945161.2221923
129,2013,PF - Empregado de empresa privada,RIO DE JANEIRO,2235612982.387504
130,2013,PF - Empregado de entidades sem fins lucrativos,RIO DE JANEIRO,18063164.42611674
131,2013,PF - Empresário,RIO DE JANEIRO,1521533721.690248
132,2013,PF - MEI,RIO DE JANEIRO,0.0
133,2013,PF - Outros,RIO DE JANEIRO,7794914476.858458
134,2013,PF - Servidor ou empregado público,RIO DE JANEIRO,2385664791.1595473
135,2013,PF - Aposentado/pensionista,RIO GRANDE DO NORTE,151003122.982079
136,2013,PF - Autônomo,RIO GRANDE DO NORTE,116878836.74267575
137,2013,PF - Empregado de empresa privada,RIO GRANDE DO NORTE,105409370.26938218
138,2013,PF - Empregado de entidades sem fins lucrativos,RIO GRANDE DO NORTE,1194008.6590508153
139,2013,PF - Empresário,RIO GRANDE DO NORTE,173467838.58559802
140,2013,PF - Outros,RIO GRANDE DO NORTE,1058871741.2920449
141,2013,PF - Servidor ou empregado público,RIO GRANDE DO NORTE,303460552.28694016
142,2013,PF - Aposentado/pensionista,RONDÔNIA,19603094.17711955
143,2013,PF - Autônomo,RONDÔNIA,93791043.07287128
144,2013,PF - Empregado de empresa privada,RONDÔNIA,53645012.93911286
145,2013,PF - Empregado de entidades sem fins lucrativos,RONDÔNIA,616780.472451658
146,2013,PF - Empresário,RONDÔNIA,118542134.31264694
147,2013,PF - Outros,RONDÔNIA,563974162.3214767
148,2013,PF - Servidor ou empregado público,RONDÔNIA,252995391.68260422
149,2013,PF - Aposentado/pensionista,RORAIMA,8430740.282516865
150,2013,PF - Autônomo,RORAIMA,22269308.522769857
151,2013,PF - Empregado de empresa privada,RORAIMA,10990000.701057445
152,2013,PF - Empregado de entidades sem fins lucrativos,RORAIMA,194891.84349377925
153,2013,PF - Empresário,RORAIMA,42538895.78591063
154,2013,PF - Outros,RORAIMA,160311315.43750703
155,2013,PF - Servidor ou empregado público,RORAIMA,145395991.4416322
156,2013,PF - Aposentado/pensionista,RIO GRANDE DO SUL,478406374.20723474
157,2013,PF - Autônomo,RIO GRANDE DO SUL,1167367737.4027612
158,2013,PF - Empregado de empresa privada,RIO GRANDE DO SUL,1190070986.451697
159,2013,PF - Empregado de entidades sem fins lucrativos,RIO GRANDE DO SUL,10840671.268288087
160,2013,PF - Empresário,RIO GRANDE DO SUL,1921809617.8377056
161,2013,PF - MEI,RIO GRANDE DO SUL,0.0
162,2013,PF - Outros,RIO GRANDE DO SUL,5491333642.280484
163,2013,PF - Servidor ou empregado público,RIO GRANDE DO SUL,904058003.2719373
164,2013,PF - Aposentado/pensionista,SANTA CATARINA,191695123.83319914
165,2013,PF - Autônomo,SANTA CATARINA,384137876.0274432
166,2013,PF - Empregado de empresa privada,SANTA CATARINA,663019177.6669556
167,2013,PF - Empregado de entidades sem fins lucrativos,SANTA CATARINA,2711704.2960812612
168,2013,PF - Empresário,SANTA CATARINA,971997595.858097
169,2013,PF - Outros,SANTA CATARINA,3373668448.784286
170,2013,PF - Servidor ou empregado público,SANTA CATARINA,427625479.2679262
171,2013,PF - Aposentado/pensionista,SERGIPE,52864588.15427434
172,2013,PF - Autônomo,SERGIPE,113906644.93401885
173,2013,PF - Empregado de empresa privada,SERGIPE,88658381.91143811
174,2013,PF - Empregado de entidades sem fins lucrativos,SERGIPE,1158467.3523595545
175,2013,PF - Empresário,SERGIPE,111936183.11213729
176,2013,PF - Outros,SERGIPE,741057477.8588166
177,2013,PF - Servidor ou empregado público,SERGIPE,253321421.00426683
178,2013,PF - Aposentado/pensionista,SÃO PAULO,1383528694.0380359
179,2013,PF - Autônomo,SÃO PAULO,3486663789.020011
180,2013,PF - Empregado de empresa privada,SÃO PAULO,9288704725.963465
181,2013,PF - Empregado de entidades sem fins lucrativos,SÃO PAULO,49980397.12561916
182,2013,PF - Empresário,SÃO PAULO,7751517806.739533
183,2013,PF - MEI,SÃO PAULO,37268.90601447345
184,2013,PF - Outros,SÃO PAULO,22111084718.87411
185,2013,PF - Servidor ou empregado público,SÃO PAULO,3379475723.1133766
186,2013,PF - Aposentado/pensionista,TOCANTINS,13835078.015537133
187,2013,PF - Autônomo,TOCANTINS,169994404.3322777
188,2013,PF - Empregado de empresa privada,TOCANTINS,42329933.84991672
189,2013,PF - Empregado de entidades sem fins lucrativos,TOCANTINS,2131401.4711467996
190,2013,PF - Empresário,TOCANTINS,160780174.92414358
191,2013,PF - Outros,TOCANTINS,528232453.803211
192,2013,PF - Servidor ou empregado público,TOCANTINS,246614291.74558556
0,2014,PF - Aposentado/pensionista,ACRE,15658148.665471368
1,2014,PF - Autônomo,ACRE,18500428.638426058
2,2014,PF - Empregado de empresa privada,ACRE,16886501.135592327
3,2014,PF - Empregado de entidades sem fins lucrativos,ACRE,141433.5301975945
4,2014,PF - Empresário,ACRE,35734120.39767067
5,2014,PF - Outros,ACRE,238925792.76695317
6,2014,PF - Servidor ou empregado público,ACRE,115085826.0163781
7,2014,PF - Aposentado/pensionista,ALAGOAS,64310151.85791773
8,2014,PF - Autônomo,ALAGOAS,117948147.65527205
9,2014,PF - Empregado de empresa privada,ALAGOAS,97915857.85322021
10,2014,PF - Empregado de entidades sem fins lucrativos,ALAGOAS,300189.5131722838
11,2014,PF - Empresário,ALAGOAS,178238541.59837466
12,2014,PF - Outros,ALAGOAS,1219952092.7714095
13,2014,PF - Servidor ou empregado público,ALAGOAS,220159640.08053264
14,2014,PF - Aposentado/pensionista,AMAZONAS,58677614.5362787
15,2014,PF - Autônomo,AMAZONAS,116637490.1520638
16,2014,PF - Empregado de empresa privada,AMAZONAS,234560561.52803454
17,2014,PF - Empregado de entidades sem fins lucrativos,AMAZONAS,1718809.9870821857
18,2014,PF - Empresário,AMAZONAS,134286232.3717111
